Nome do Produto,Complemento da Marca,Princípio Ativo ou Descrição do Medicamento Notificado,Tipo de Regularização,Número da Regularização,Número do Processo,Empresa Detentora da Regularização,Situação da Regularização,Vencimento da Regularização
rialcool 70 foam,,ÁLCOOL ETÍLICO 70% C,NOTIFICADO,         ,,RIOQUIMICA S.A. - 55.643.555/0001-43,Ativo,07/2031
ADIPEPT,,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,REGISTRADO,105730462,25351.278967/2012-17,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,12/2028
DIPIRONATI,,DIPIRONA,REGISTRADO,147610007,25351.028461/01-42,NATIVITA IND. COM. LTDA. - 65.271.900/0001-19,Ativo,08/2027
simeticona,,SIMETICONA 75 MG/ML (EMULSÃO ORAL) C,NOTIFICADO,         ,,EMS S/A - 57.507.378/0003-65,Ativo,06/2027
UNIFEDRINE,,SULFATO DE EFEDRINA,REGISTRADO,104970261,25000.013885/95-81,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,03/2027
METICORTEN,,PREDNISONA,REGISTRADO,100290189,25351.302319/2014-01,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,10/2029
"SINDRAT (SABOR NATURAL, AÇAÍ, ÁGUA DE COCO, TANGERINA, UVA)",,"SAIS PARA REIDRATAÇÃO ORAL (CLORETO DE SÓDIO 3,5G + CLORETO DE POTÁSSIO 1,5G + CITRATO DE SÓDIO DI-HIDRATADO 2,9G + GLICOSE 20G) C",NOTIFICADO,         ,,BRASTERÁPICA PHARMACEUTICA LTDA - 46.179.008/0003-20,Ativo,03/2026
acebrofilina,,ACEBROFILINA,REGISTRADO,105730609,25351.849309/2018-89,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,06/2029
MAGNOSTASE,,CLORIDRATO DE LOPERAMIDA,REGISTRADO,155840142,25351.541742/2011-38,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,06/2027
SOSSEG,,Passiflora incarnata L.,REGISTRADO,143810264,25351.264004/2018-01,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,08/2030
flumazenil,,FLUMAZENIL,REGISTRADO,113430196,25351.012071/2015-79,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,05/2028
BENZIFLEX LIS,,"CLONIXINATO DE LISINA, CLORIDRATO DE CICLOBENZAPRINA",REGISTRADO,102351167,25351.029882/2015-21,EMS S/A - 57.507.378/0003-65,Ativo,08/2026
valsartana + anlodipino,,"VALSARTANA, BESILATO DE ANLODIPINO",REGISTRADO,105730731,25351.738010/2013-65,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,12/2029
ATORVASTATINA CÁLCICA,,ATORVASTATINA CÁLCICA,REGISTRADO,102351119,25351.546423/2015-15,EMS S/A - 57.507.378/0003-65,Ativo,01/2026
LYSUGI,,PREGABALINA,REGISTRADO,151430058,25351.686176/2015-44,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA - 03.978.166/0001-75,Ativo,09/2030
NAUSICALM CÁPSULA MOLE,,DIMENIDRINATO,REGISTRADO,104971536,25351.242412/2023-61,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,09/2034
NITRATO DE MICONAZOL,,NITRATO DE MICONAZOL 20 MG/G (CREME DERMATOLÓGICO) C,NOTIFICADO,         ,,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,12/2033
IODOPOLIVIDONA CONCARE,,IODOPOLIVIDONA 10% (SOLUÇÃO AQUOSA) C,NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,07/2030
dicloridrato de levocetirizina,,DICLORIDRATO DE LEVOCETIRIZINA,REGISTRADO,141070648,25351.192035/2021-40,PHARLAB INDÚSTRIA FARMACÊUTICA S.A. - 02.501.297/0001-02,Ativo,06/2033
brometo de rocurônio,,BROMETO DE ROCURÔNIO,REGISTRADO,100431010,25351.408943/2007-11,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,08/2028
ESMOG,,esomeprazol magnésico tri-hidratado,REGISTRADO,102351238,25351.365693/2017-81,EMS S/A - 57.507.378/0003-65,Ativo,11/2027
fampridina,,FAMPRIDINA,REGISTRADO,155370118,25351.262854/2022-42,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,10/2033
GEODON,,CLORIDRATO DE ZIPRASIDONA MONOIDRATADO,REGISTRADO,188300102,25351.382781/2024-76,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,02/2028
risperidona,,risperidona,REGISTRADO,123520210,25351.568392/2007-35,RANBAXY FARMACÊUTICA LTDA - 73.663.650/0001-90,Ativo,05/2029
RPHLIMPHA,,ÁCIDO FÍTICO,REGISTRADO,173590005,25351.381627/2015-82,MJM PRODUTOS FARMACEUTICOS E DE RADIOPROTECAO S.A. - 04.891.262/0001-44,Ativo,12/2028
Óleo Mineral airela,,ÓLEO MINERAL 100% C,NOTIFICADO,         ,,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,04/2035
cloridrato de ondansetrona,,CLORIDRATO  DE ONDANSETRONA DI-hIDRATADO,REGISTRADO,135170064,25351.418107/2021-94,Althaia S.A Indústria Farmacêutica - 48.344.725/0007-19,Ativo,05/2032
Acetilcisteina,,ACETILCISTEÍNA,REGISTRADO,104971317,25351.082794/2005-85,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,08/2035
Celecoxibe,,CELECOXIBE,REGISTRADO,100470630,25351.790183/2018-29,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,05/2030
cloridrato de amiodarona,,CLORIDRATO DE AMIODARONA,REGISTRADO,183260294,25351.110114/2018-45,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,09/2028
cloridrato de paroxetina,,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,REGISTRADO,156510005,25351.228995/2004-54,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,03/2035
cloridrato de terbinafina,,CLORIDRATO DE TERBINAFINA,REGISTRADO,125680198,25351.615395/2007-75,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,09/2028
levofloxacino hemi-hidratado,,levofloxacino hemi-hidratado,REGISTRADO,103110153,25351.171078/2018-96,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA - 01.571.702/0001-98,Ativo,09/2035
SUMAX,,SUCCINATO DE SUMATRIPTANA,REGISTRADO,100330163,25351.568764/2011-17,LIBBS FARMACÊUTICA LTDA - 61.230.314/0001-75,Ativo,10/2027
AIRES,,ACETILCISTEÍNA,REGISTRADO,100431371,25351.049681/2021-98,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,07/2029
FORFIG,,SILYBUM MARIANUM (L.) GAERTN,REGISTRADO,100431377,25351.840311/2021-98,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,02/2030
LEVIOSA,,cloridrato de vardenafila,REGISTRADO,167730447,25351.048791/2016-75,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,10/2026
NEUREXAN,,"AVENA SATIVA, Coffea cruda, PASSIFLORA INCARNATA, ZINCUM VALERIANICUM",REGISTRADO,161980015,25351.124675/2009-18,HEEL DO BRASIL BIOMÉDICA LTDA - 05.994.539/0001-27,Ativo,01/2026
SONRIDOR RAPID +FORTE,,PARACETAMOL 500 MG + CAFEÍNA 65 MG (COMPRIMIDO REVESTIDO) C,NOTIFICADO,         ,,PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA - 30.872.270/0004-04,Ativo,08/2035
TRAZOSTAB,,CLORIDRATO DE TRAZODONA,REGISTRADO,167730415,25351.607088/2014-40,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,06/2026
ATROVERAN DIP,,dipirona monoidratada,REGISTRADO,178170862,25351.220078/2018-27,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,10/2028
ADACNE,,ADAPALENO,REGISTRADO,110130230,25351.126287/2005-61,GLENMARK FARMACÊUTICA LTDA - 44.363.661/0001-57,Ativo,12/2025
cefazolina sódica,,CEFAZOLINA SÓDICA,REGISTRADO,100630247,25351.788353/2018-13,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA - 33.258.401/0001-03,Ativo,12/2028
KEYTRUDA,,pembrolizumabe,REGISTRADO,101710209,25351.150453/2021-60,MERCK SHARP & DOHME FARMACEUTICA LTDA. - 03.560.974/0001-18,Ativo,10/2026
PANTOPRAZOL,,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,REGISTRADO,143810195,25351.471888/2011-71,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,02/2027
topiramato,,TOPIRAMATO,REGISTRADO,103920193,25351.347132/2019-61,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,07/2029
atenolol,,ATENOLOL,REGISTRADO,125680146,25351.107626/2006-91,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,09/2027
FIRIALTA,,FINERENONA,REGISTRADO,170560129,25351.673258/2020-22,BAYER S.A. - 18.459.628/0001-15,Ativo,01/2033
HUMIRA,AC,ADALIMUMABE,REGISTRADO,198600003,25351.068850/2014-78,ABBVIE FARMACÊUTICA LTDA. - 15.800.545/0001-50,Ativo,04/2028
AMPLOGIN,,"TIOCONAZOL, TINIDAZOL",REGISTRADO,188710005,25351.597267/2019-76,GALLIA INDUSTRIA FARMACEUTICA LTDA - 12.022.755/0001-76,Ativo,02/2029
cloridrato de metformina + glibenclamida,,"CLORIDRATO DE METFORMINA, GLIBENCLAMIDA",REGISTRADO,118190342,25351.065382/2022-81,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,10/2027
ECTRIN,KELTRINA PLUS,PERMETRINA,REGISTRADO,102351378,25351.593481/2021-78,EMS S/A - 57.507.378/0003-65,Ativo,07/2031
PREGABALINA,,PREGABALINA,REGISTRADO,103700589,25351.403729/2011-40,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2027
APRETUDE,,CABOTEGRAVIR SÓDICO,REGISTRADO,101070361,25351.000223/2021-51,GLAXOSMITHKLINE BRASIL LTDA - 33.247.743/0001-10,Ativo,
BUTILBROMETO DE ESCOPOLAMINA,,BUTILBROMETO DE ESCOPOLAMINA,REGISTRADO,103700288,25351.002931/00-58,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,03/2035
fosfato sódico de prednisolona,,FOSFATO SÓDICO DE PREDNISOLONA,REGISTRADO,113430184,25351.577996/2009-81,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,09/2027
gliclazida,,GLICLAZIDA,REGISTRADO,112780087,25351.591450/2022-63,LABORATÓRIOS SERVIER DO BRASIL LTDA - 42.374.207/0001-76,Ativo,12/2032
MULTIGRIP DOR E FEBRE,,PARACETAMOL,REGISTRADO,118190210,25351.435085/2020-46,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,01/2031
trometamol cetorolaco,,CETOROLACO TROMETAMINA,REGISTRADO,104300047,25351.381523/2024-72,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA - 42.457.796/0001-56,Ativo,09/2034
COMPLEXO HOMEOPATICO THUYA AP Nº18,,"THUYA OCCIDENTALIS 6C, ACIDUM NITRICUM 6C, CLEMATIS ERECTA 6C, PULSATILLA 6C",NOTIFICADO,         ,,FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA - 60.862.208/0001-41,Ativo,10/2033
DERMOTIVIN BENZAC 5%,,GEL DE PERÓXIDO DE BENZOÍLA 5% C,NOTIFICADO,         ,,GALDERMA BRASIL LTDA - 00.317.372/0004-99,Ativo,06/2032
MITRUL,,CLORIDRATO DE CICLOBENZAPRINA,REGISTRADO,122140093,25351.294896/2013-88,ADIUM S.A. - 55.980.684/0001-27,Ativo,10/2029
omeprazol,,OMEPRAZOL,REGISTRADO,102350616,25351.011956/01-51,EMS S/A - 57.507.378/0003-65,Ativo,11/2028
GLIMEPIL,,GLIMEPIRIDA,REGISTRADO,103900130,25000.014318/99-21,FARMOQUÍMICA S/A - 33.349.473/0001-58,Ativo,09/2029
SANVAPRESS,,MALEATO DE ENALAPRIL,REGISTRADO,113430211,25351.125776/2022-04,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,01/2026
Lenvima,,mesilato de lenvatinibe,REGISTRADO,125760027,25351.174176/2018-85,UNITED MEDICAL LTDA - 68.949.239/0001-46,Ativo,08/2026
MALEATO DE DEXCLORFENIRAMINA,MALEATO DE DEXCLOFENIRAMINA,MALEATO DE DEXCLORFENIRAMINA,REGISTRADO,155840276,25351.534955/2011-68,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,05/2026
CLORIDRATO DE MEMANTINA,,CLORIDRATO DE MEMANTINA,REGISTRADO,155840562,25351.438678/2012-30,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,10/2028
Iziz,,"ACETATO DE NOMEGESTROL, ESTRADIOL HEMI-HIDRATADO",REGISTRADO,100330209,25351.775658/2015-03,LIBBS FARMACÊUTICA LTDA - 61.230.314/0001-75,Ativo,12/2029
BACVAX,,"SULFAMETOXAZOL, TRIMETOPRIMA",REGISTRADO,144930083,25351.042197/2025-61,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,08/2035
Mertioex,,GLICONATO DE CLOREXIDINA 1% (SOLUÇÃO AQUOSA) C,NOTIFICADO,         ,,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,08/2030
TEULENN,,CIPROFIBRATO,REGISTRADO,103700749,25351.228894/2010-01,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,08/2030
CINETOL,,CLORIDRATO DE BIPERIDENO,REGISTRADO,102980599,25351.292522/2020-21,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,07/2034
KIRSTY,,INSULINA ASPARTE,REGISTRADO,116640006,25351.438606/2024-41,BIOCON BIOLOGICS DO BRASIL LTDA - 38.108.988/0001-80,Ativo,03/2034
ácido ursodesoxicólico,,ÁCIDO URSODESOXICÓLICO,REGISTRADO,102351384,25351.143014/2021-09,EMS S/A - 57.507.378/0003-65,Ativo,08/2031
BIOGINKGO BIONATUS,,GINKGO BILOBA L.,REGISTRADO,120090028,25351.471579/2012-13,BIONATUS LABORATÓRIO BOTÂNICO LTDA - 68.032.192/0001-51,Ativo,06/2028
CEFTRIAXONA DISSÓDICA,,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,REGISTRADO,116370179,25351.228540/2022-11,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,09/2029
cloridrato de bupropiona,,CLORIDRATO DE BUPROPIONA,REGISTRADO,102351231,25351.404585/2016-43,EMS S/A - 57.507.378/0003-65,Ativo,10/2027
Colpadak creme dermatológico,,NITRATO DE MICONAZOL 20 MG/G (CREME DERMATOLÓGICO) C,NOTIFICADO,         ,,BELFAR LTDA - 18.324.343/0001-77,Ativo,06/2033
AMOXICILINA,,AMOXICILINA TRI-hIDRATADA,REGISTRADO,102350665,25351.050147/2003-42,EMS S/A - 57.507.378/0003-65,Ativo,03/2029
CLORIDRATO DE AMITRIPTILINA,,CLORIDRATO DE AMITRIPTILINA,REGISTRADO,110390181,25351.175846/2014-91,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP - 43.640.754/0001-19,Ativo,09/2029
LYLLAS,,"DROSPIRENONA, ETINILESTRADIOL",REGISTRADO,100470521,25351.049282/2010-99,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,10/2027
TAXBAC,,"SULFAMETOXAZOL, TRIMETOPRIMA",REGISTRADO,103920212,25351.570927/2022-77,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,
DEXAMETASONA,,DEXAMETASONA,REGISTRADO,125680056,25351.186003/2002-42,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,10/2027
CLORIDRATO DE MINOCICLINA,,CLORIDRATO DE MINOCICLINA,REGISTRADO,123520091,25351.004036/02-01,RANBAXY FARMACÊUTICA LTDA - 73.663.650/0001-90,Ativo,04/2027
pantoprazol,,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,REGISTRADO,100681129,25351.409021/2016-11,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,01/2027
cloridrato de mepivacaína,,CLORIDRATO DE MEPIVACAÍNA,REGISTRADO,102980451,25351.388307/2016-48,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,04/2027
cloridrato de paroxetina,,CLORIDRATO DE PAROXETINA,REGISTRADO,141070103,25351.596219/2015-37,PHARLAB INDÚSTRIA FARMACÊUTICA S.A. - 02.501.297/0001-02,Ativo,11/2025
DEXILANT,,dexlansoprazol,REGISTRADO,106390261,25351.679967/2011-87,TAKEDA PHARMA LTDA. - 60.397.775/0001-74,Ativo,01/2027
REXULTI,,brexpiprazol,REGISTRADO,104750053,25351.003042/2018-81,LUNDBECK BRASIL LTDA - 04.522.600/0001-70,Ativo,04/2030
CICLOPIROX OLAMINA,,CICLOPIROX OLAMINA,REGISTRADO,125680158,25351.337391/2006-60,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,02/2027
DOLOSAL,,CLORIDRATO DE PETIDINA,REGISTRADO,102980034,25992.018501/74,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,10/2029
PROSOLIN,,FOSFATO SÓDICO DE PREDNISOLONA,REGISTRADO,105350191,25351.911388/2016-92,LABORATÓRIO GLOBO SA - 17.115.437/0001-73,Ativo,03/2027
AZITROMICINA MONOIDRATADA,,AZITROMICINA,REGISTRADO,155620036,25351.176455/2013-85,ANTIBIÓTICOS DO BRASIL LTDA - 05.439.635/0001-03,Ativo,04/2035
ciprofibrato,,CIPROFIBRATO,REGISTRADO,155840195,25351.534907/2011-27,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,01/2026
CLORIDRATO DE PAROXETINA,,CLORIDRATO DE PAROXETINA,REGISTRADO,123520102,25351.174566/2002-98,RANBAXY FARMACÊUTICA LTDA - 73.663.650/0001-90,Ativo,10/2027
mesilato de doxazosina,,MESILATO DE DOXAZOSINA,REGISTRADO,167730426,25351.086935/2016-91,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,08/2026
TOXXEL,,PACLITAXEL,REGISTRADO,116370208,25351.057326/2023-54,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,08/2033
mesilato de imatinibe,,MESILATO DE IMATINIBE,REGISTRADO,156510099,25351.749213/2019-01,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,10/2032
MESNA,,MESNA,REGISTRADO,116370070,25351.212950/2008-91,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,12/2028
POLARMINPRO,,CLORIDRATO DE FEXOFENADINA,REGISTRADO,178170982,25351.446003/2024-12,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,03/2035
rosuvastatina calcica,,ROSUVASTATINA CÁLCICA,REGISTRADO,154230294,25351.659099/2012-98,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,07/2029
CLOMETINE,,BROMIDRATO DE GALANTAMINA,REGISTRADO,109740306,25351.371568/2020-13,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,10/2026
cloridrato de venlafaxina,,CLORIDRATO DE VENLAFAXINA,REGISTRADO,151670060,25351.553384/2012-88,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA - 04.301.884/0001-75,Ativo,05/2030
LIFOS,,IFOSFAMIDA,REGISTRADO,116370185,25351.130659/2022-54,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,06/2027
Octreotato Tetraxetana (68 Ga),,OCTREOTATO TETRAXETANA (68 GA),NOTIFICADO,         ,25351.640119/2021-01,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DA USP - 60.448.040/0001-22,Ativo,
PENTAGLOBIN,,IMUNOGLOBULINA HUMANA ,REGISTRADO,136410020,25351.126254/2024-83,GRIFOLS BRASIL LTDA - 02.513.899/0001-71,Ativo,11/2026
PRIMERA 30,,"DESOGESTREL, ETINILESTRADIOL",REGISTRADO,100431123,25351.635072/2014-27,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,05/2035
APAXY,"emb hosp, EMB. HOSPITALAR",Passiflora incarnata L.,REGISTRADO,154230290,25351.554932/2016-06,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,05/2029
URBANIL,,CLOBAZAM,REGISTRADO,141070659,25351.364550/2024-81,PHARLAB INDÚSTRIA FARMACÊUTICA S.A. - 02.501.297/0001-02,Ativo,11/2026
VANLURE,,CLORIDRATO DE VALACICLOVIR,REGISTRADO,100431526,25351.599430/2022-31,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,01/2035
ENRIZA,,Benzoato de rizatriptana,REGISTRADO,105730093,25351.264293/2024-88,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2034
FRONTLEV,,LEVETIRACETAM,REGISTRADO,105730056,25351.339605/2023-33,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,12/2033
hemitartarato de zolpidem,,HEMITARTARATO DE ZOLPIDEM,REGISTRADO,109170140,25351.140053/2024-99,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA. - 17.875.154/0001-20,Ativo,05/2034
SUFENTA,,CITRATO DE SUFENTANILA,REGISTRADO,155620058,25351.660962/2020-15,ANTIBIÓTICOS DO BRASIL LTDA - 05.439.635/0001-03,Ativo,08/2029
TARCEVA,,CLORIDRATO DE ERLOTINIBE,REGISTRADO,189770008,25351.429984/2024-33,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA - 31.327.287/0001-92,Ativo,04/2026
brometo de ipratrópio,,BROMETO DE IPRATRÓPIO,REGISTRADO,105830619,25351.220411/2008-26,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,01/2029
JARDIANCE,,empagliflozina,REGISTRADO,103670172,25351.203085/2013-43,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA. - 60.831.658/0001-77,Ativo,07/2029
LORATADINA,,LORATADINA,REGISTRADO,123520079,25351.017399/01-17,RANBAXY FARMACÊUTICA LTDA - 73.663.650/0001-90,Ativo,10/2026
NASONEX®,,FUROATO DE MOMETASONA MONOIDRATADO,REGISTRADO,100290217,25351.373727/2021-97,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,09/2027
ampicilina sódica + sulbactam sódico,,"AMPICILINA SÓDICA, SULBACTAM SÓDICo",REGISTRADO,100410214,25351.936314/2020-45,FRESENIUS KABI BRASIL LTDA - 49.324.221/0001-04,Ativo,04/2027
Nervoheel n,,"ACIDUM PHOSPHORICUM 4D, IGNATIA AMARA 4D, SEPIA SUCCUS 4D, KALI BROMATUM 4D, ZINCUM VALERIANICUM 4D",NOTIFICADO,         ,,HEEL DO BRASIL BIOMÉDICA LTDA - 05.994.539/0001-27,Ativo,09/2032
TINTURA DE IODO 2% UNIPHAR,,SOLUÇÃO DE IODO 2% C,NOTIFICADO,         ,,J.R.D.INDUSTRIA FARMACEUTICA LTDA. - 03.869.526/0002-81,Ativo,12/2031
"LFM-BROMEXINA 0,08%",,CLORIDRATO DE BROMEXINA,REGISTRADO,126250073,25000.036481/96-92,LABORATÓRIO FARMACÊUTICO DA MARINHA - 00.394.502/0071-57,Ativo,04/2029
alcool 70% concare,,ÁLCOOL ETÍLICO 70% C,NOTIFICADO,         ,,RIOQUIMICA S.A. - 55.643.555/0001-43,Ativo,09/2033
acetato de abiraterona,,acetato de abiraterona,REGISTRADO,151430028,25351.335596/2016-89,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA - 03.978.166/0001-75,Ativo,11/2027
atenolol + clortalidona,,"ATENOLOL, CLORTALIDONA",REGISTRADO,105730552,25351.689291/2018-50,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,11/2029
bissulfato de clopidogrel,,BISSULFATO DE CLOPIDOGREL,REGISTRADO,123520207,25351.061047/2008-56,RANBAXY FARMACÊUTICA LTDA - 73.663.650/0001-90,Ativo,08/2028
gliclazida,,GLICLAZIDA,REGISTRADO,143810291,25351.521896/2014-52,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,01/2033
montelucaste sódico,,MONTELUCASTE de SÓDIO,REGISTRADO,143810301,25351.051927/2021-91,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,02/2034
LUR GOTAS,,DESLORATADINA,REGISTRADO,105730027,25351.426554/2022-06,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,10/2032
acebrofilina,,ACEBROFILINA,REGISTRADO,118190275,25351.063023/2022-90,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,09/2026
espironolactona,,ESPIRONOLACTONA,REGISTRADO,113430155,25351.285917/2007-08,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,06/2028
ZYLINOX SL,,HEMITARTARATO DE ZOLPIDEM,REGISTRADO,156510082,25351.590145/2019-59,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,02/2030
LEGALON,,SILYBUM MARIANUM (L.) GAERTN,REGISTRADO,188300050,25351.067927/2018-16,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,06/2026
acetilcisteína,,ACETILCISTEÍNA,REGISTRADO,100431294,25351.533509/2019-01,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,08/2029
bromoprida,,BROMOPRIDA,REGISTRADO,145870005,25351.989087/2016-74,WASSER FARMA LTDA - 01.564.260/0001-52,Ativo,08/2026
citrato de fentanila,,CITRATO DE FENTANILA,REGISTRADO,103700588,25351.638875/2010-17,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2027
